"AvailableTranscripts";"Rated";"DatePosted"
Any["Arabic","Burmese","Chinese, Simplified","Chinese, Traditional","Czech","Dutch","English","French","Hebrew","Hindi","Hungarian","Indonesian","Italian","Japanese","Korean","Persian","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Spanish","Telugu","Thai","Turkish","Ukrainian","Vietnamese"];String["Inspiring, Ingenious"];"Jan 2016"
Any["Arabic","Chinese, Simplified","Chinese, Traditional","Dutch","English","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Persian","Polish","Portuguese, Brazilian","Russian","Serbian","Spanish","Swedish","Turkish","Vietnamese"];String["Inspiring, Persuasive"];"Mar 2016"
Any["Arabic","Bulgarian","Chinese, Simplified","English","Estonian","French","French (Canada)","Georgian","German","Gujarati","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Lithuanian","Macedonian","Persian","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Telugu","Turkish","Vietnamese"];String["Inspiring, Informative"];"Nov 2016"
Any["Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Dutch","English","Finnish","French","German","Greek","Hebrew","Italian","Japanese","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Swedish","Thai","Turkish","Vietnamese"];String["Inspiring, Informative"];"Feb 2016"
Any["Arabic","Basque","Catalan","Chinese, Simplified","Chinese, Traditional","Dutch","English","French","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Macedonian","Persian","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Turkish","Vietnamese"];String["Inspiring, Informative"];"Mar 2016"
Any["Albanian","Arabic","Armenian","Belarusian","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Dutch","English","French","Galician","German","Greek","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Latvian","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Slovak","Slovenian","Spanish","Thai","Turkish","Ukrainian","Vietnamese"];String["Beautiful, Fascinating"];"Nov 2011"
Any["Arabic","English","French","German","Indonesian","Korean","Portuguese, Brazilian","Russian","Spanish","Swedish","Turkish","Vietnamese"];String["Inspiring, Informative"];"Nov 2016"
Any["Arabic","Burmese","Chinese, Simplified","Chinese, Traditional","Croatian","Danish","Dutch","English","French","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Russian","Serbian","Spanish","Telugu","Thai","Turkish","Ukrainian","Vietnamese"];String["Informative, Funny"];"Dec 2015"
Any["Arabic","Belarusian","Bulgarian","Burmese","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Dutch","English","Finnish","French","Georgian","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Thai","Turkish","Vietnamese"];String["Fascinating, Informative"];"Feb 2016"
Any["Albanian","Arabic","Bulgarian","Chinese, Simplified","Chinese, Traditional","Croatian","Czech","Danish","Dutch","English","French","German","Greek","Hebrew","Hungarian","Indonesian","Italian","Japanese","Korean","Kurdish","Lithuanian","Macedonian","Malay","Persian","Polish","Portuguese","Portuguese, Brazilian","Romanian","Russian","Serbian","Spanish","Swedish","Turkish","Ukrainian","Vietnamese"];String["Informative, Fascinating"];"Nov 2011"
Any["Arabic","Bulgarian","Burmese","Chinese, Simplified","Chinese, Traditional","Croatian","Dutch","English","French","German","Greek","Hebrew","Hungarian","Italian","Japanese","Korean","Lithuanian","Persian","Polish","Portuguese","Portuguese, Brazilian","Russian","Serbian","Slovenian","Spanish","Turkish","Ukrainian","Vietnamese"];String["Beautiful, Inspiring"];"Nov 2016"
Any["Chinese, Simplified","Croatian","Czech","Dutch","English","Greek","Portuguese, Brazilian","Spanish","Ukrainian","Vietnamese"];String["Beautiful, Courageous"];"Apr 2017"
